sexo;idade;formacao;curso;anoFormacao;tempoProfissional;tempoFuncao;funcao;metodologia;existenciaProjeto;mesesNoProjeto;@12.Emrelaçãoassuascaracterísticasporfavorresponda;S1;S2;S3;C2;C3;C4;C1;EM4;EM1;EM3;EM2;T3;T1;T4;T2;I2;I1;I4;I3;Desvio
Masculino;26;Mestrado;Ciência da computação;2018;2;2;Desenvolvedor;Tradicional;5;3; ;7;7;7;7;6;5;7;7;6;6;7;7;7;7;7;7;7;7;7;0,561951487
Masculino;31;Superior completo;Ciência da computação;2011;8;3;Desenvolvedor;Ágil;8;4; ;4;5;5;4;5;4;5;5;5;5;5;4;6;5;5;6;5;5;5;0,567130873
Masculino;32;Superior completo;Engenharia da Computação;2014;6;6;Desenvolvedor;Ágil;12;12; ;6;6;6;5;6;6;7;6;6;6;6;7;6;5;6;7;6;7;6;0,567130873
Feminino;27;Mestrado;Ciência da computação;2018;3;3;Desenvolvedor;Ágil;28;7; ;6;6;6;6;6;6;6;6;6;4;6;7;6;6;6;7;6;6;6;0,577350269
Masculino;25;Superior completo;Desenvolvimento de Games;2018;2;2;Desenvolvedor;Ágil;28;4; ;6;5;7;7;7;6;7;7;7;7;7;7;7;7;7;7;6;7;6;0,582392725
Masculino;27;Superior completo;Sistemas de Informação;2018;4;3;Desenvolvedor;Híbrida;16;2; ;6;7;7;7;6;7;5;7;7;6;7;7;7;7;7;7;7;7;6;0,582392725
Masculino;23;Superior completo;Ciência da computação;2017;5;1;Desenvolvedor;Híbrida;12;1; ;7;7;7;6;6;7;7;7;7;6;6;7;5;6;7;7;7;7;7;0,59726472
Masculino;22;Superior completo;Sistemas de Informação;2019;2,5;2,5;Desenvolvedor;Ágil;6;1; ;7;7;7;6;6;6;7;7;6;7;5;7;7;7;7;7;7;7;6;0,59726472
Masculino;34;Doutorado;Ciência da computação;2023;9;8;Gerente;Híbrida;2;2; ;7;7;7;7;6;7;5;6;7;7;6;6;7;7;7;7;7;6;7;0,59726472
Masculino;53;Especialização;Ciência da computação;1997;32;16;Gerente;Híbrida;0;0; ;7;7;6;7;6;5;6;6;7;7;6;7;7;7;7;7;7;7;7;0,59726472
Feminino;38;Mestrado;Ciência da computação;2015;16;4;Desenvolvedor;Ágil;7;7; ;6;7;6;6;6;6;6;6;6;5;5;7;7;6;6;7;7;6;6;0,602140432
Masculino;35;Especialização;Ciência da computação;2013;8;6;Analista;Híbrida;5;2; ;6;7;6;7;6;5;6;6;6;7;6;6;5;6;6;7;7;6;6;0,602140432
Masculino;26;Superior completo;Ciência da computação;2017;3;3;Desenvolvedor;Ágil;11;11; ;6;6;6;7;5;6;7;6;6;6;6;6;7;5;7;7;6;6;6;0,602140432
Feminino;42;Especialização;MBA em gestão de projetos;2013;25;4;Gerente;Híbrida;5;4; ;6;7;6;5;6;7;6;7;6;7;6;7;7;6;7;6;7;7;6;0,606976979
Masculino;32;Especialização;Ciência da computação;2014;5;5;Testador;Ágil;36;11; ;6;7;7;7;6;5;7;7;6;7;6;6;7;7;7;7;7;7;6;0,606976979
Masculino;33;Especialização;Sistemas de Informação;2012;8;8;Analista;Ágil;36;11; ;7;7;6;6;7;5;7;7;7;7;7;7;6;6;7;7;7;6;6;0,606976979
Masculino;35;Especialização;Ciência da computação;2016;8;2;Desenvolvedor;Ágil;52;5; ;7;6;7;7;6;5;6;6;6;7;6;6;7;7;7;7;6;6;7;0,606976979
Masculino;37;Especialização;Sistemas de Informação;2010;15;10;Desenvolvedor;Híbrida;6;6; ;6;6;6;7;6;7;5;7;6;6;6;7;7;7;7;6;6;7;7;0,606976979
Masculino;36;Mestrado;Ciência da computação;2019;7;3;Desenvolvedor;Híbrida;4;3; ;6;5;5;5;6;5;6;5;6;6;4;6;6;6;6;5;6;5;5;0,61177529
Masculino;24;Superior completo;Ciência da computação;2018;3;3;Analista;Ágil;48;22; ;6;6;6;6;6;6;7;7;7;7;6;7;7;5;7;6;7;7;7;0,61177529
