sexo;idade;formacao;curso;anoFormacao;tempoProfissional;tempoFuncao;funcao;metodologia;existenciaProjeto;mesesNoProjeto;@12.Emrelaçãoassuascaracterísticasporfavorresponda;S1;S2;S3;C2;C3;C4;C1;EM4;EM1;EM3;EM2;T3;T1;T4;T2;I2;I1;I4;I3;@13.Pararesponderasquestõesabaixoconsidereseuprojetoatua;equipe1;reque1;reque2;reque3;tec1;req4;tec2;tec3;tec4;req5;equipe2;equipe3;req6;tec5;tec6;req7;equipe4;@14.Emrelaçãoaoseudiaadiadotrabalho;ci2;et6;ci3;et4;ee6;ee2;et5;ci1;ee4;ee1;et1;et2;et3;ee3;ci4;ee5;@15.Emrelaçãoasuasatisfaçãocomotrabalho;sat1;sat2;sat3;FAC1_1;FAC2_1;FAC3_1;FAC4_1;FAC5_1;FAC1_2;FAC2_2;FAC3_2;FAC4_2;FAC5_2
Feminino;33;Especialização;Sistemas de Informação;2017;2;1;Testador;Ágil;3;3; ;6;7;4;2;7;1;5;7;6;7;7;7;7;7;7;7;7;7;7; ;7;5;7;5;6;4;7;3;3;7;7;7;6;3;3;2;7; ;1;7;1;7;5;1;7;1;1;1;7;7;6;1;1;1; ;7;7;1;1,07484870103302;1,70101215908184;1,23518412649254;-1,47187345533101;-1,09857296928188;1,07484870103302;1,70101215908184;1,23518412649254;-1,47187345533101;-1,09857296928188
Feminino;23;Superior incompleto;Ciência da computação;2021;1;1;Desenvolvedor;Ágil;30;11; ;7;7;7;7;7;7;7;7;7;7;6;7;7;7;7;7;7;7;7; ;7;6;7;5;6;5;5;4;7;7;7;7;7;7;7;7;4; ;5;6;1;5;4;4;5;1;1;3;7;7;7;6;1;4; ;5;5;1;1,40641500935605;1,21910984745274;1,05003051664057;1,14346711568961;1,06940508967074;1,40641500935605;1,21910984745274;1,05003051664057;1,14346711568961;1,06940508967074
Feminino;23;Superior incompleto;Ciência da computação;2020;3;1;Analista;Híbrida;6;1; ;6;7;6;4;6;4;7;5;5;6;6;5;5;7;7;7;7;5;7; ;7;7;6;6;7;6;1;6;5;5;5;1;5;3;7;1;6; ;2;4;3;5;2;4;5;5;1;1;7;5;6;5;1;3; ;5;3;1;,162328416158701;,219392061026357;,656840548989496;,701173072135332;-1,00543532202364;,162328416158701;,219392061026357;,656840548989496;,701173072135332;-1,00543532202364
Feminino;29;Especialização;Governança de TI;2017;5;5;Testador;Ágil;11;11; ;3;4;5;4;5;3;4;3;3;5;4;5;5;5;5;7;6;5;3; ;6;4;5;4;6;4;6;6;5;6;6;2;6;6;5;2;3; ;5;2;4;5;4;5;4;2;5;6;6;4;3;6;6;6; ;5;6;5;-2,24978389134745;-1,01575676969658;-1,36748732713774;-1,30566324155607;-,19083923807402;-2,24978389134745;-1,01575676969658;-1,36748732713774;-1,30566324155607;-,19083923807402
Feminino;20;Superior incompleto;Design;2022;3;2;Designer;Ágil;2;2; ;5;7;6;5;7;7;6;7;7;7;7;5;6;7;7;7;7;6;7; ;7;7;7;7;7;7;7;7;7;7;7;7;7;5;7;7;3; ;7;4;5;4;7;7;4;3;1;7;7;2;6;7;5;7; ;4;7;1;1,3262293053564;,520437535453488;,756853320842394;,219588306582488;,40435068890073;1,3262293053564;,520437535453488;,756853320842394;,219588306582488;,40435068890073
Feminino;24;Superior completo;Ciência da computação;2019;2;1;Desenvolvedor;Ágil;24;3; ;5;5;3;4;6;4;4;6;5;3;3;6;7;5;6;7;6;5;7; ;6;3;2;2;4;3;1;2;5;3;5;1;3;5;5;1;6; ;4;4;1;6;2;3;5;3;1;5;7;5;4;4;1;4; ;6;5;1;-1,24848947689802;,253887774857286;,329255814937281;-1,79293314568454;-,499674393911691;-1,24848947689802;,253887774857286;,329255814937281;-1,79293314568454;-,499674393911691
Feminino;30;Superior completo;Sistemas de Informação;2013;6;5;Testador;Ágil;2;1; ;4;5;5;5;1;1;5;5;5;5;1;5;7;5;6;6;6;6;5; ;7;6;6;6;3;6;3;3;3;6;7;6;6;3;6;6;7; ;7;3;3;3;6;7;3;5;5;7;5;3;3;7;3;7; ;6;5;5;-1,52354433518076;,391562768285769;-,596963810895082;-,569424543168013;-2,99468258110227;-1,52354433518076;,391562768285769;-,596963810895082;-,569424543168013;-2,99468258110227
Feminino;27;Superior completo;Análise e Desenvolvimento de Sistemas;2018;6;6;Analista;Ágil;8;3; ;2;4;4;7;6;5;6;5;4;5;4;6;6;5;7;6;6;5;5; ;2;6;4;4;6;6;2;6;6;2;2;2;4;6;6;4;2; ;2;5;1;7;2;1;6;1;1;1;7;7;7;2;1;2; ;7;5;1;-1,51880280631072;-,250324143064349;-1,12031326765667;-,841666615613995;1,15890120776695;-1,51880280631072;-,250324143064349;-1,12031326765667;-,841666615613995;1,15890120776695
Feminino;30;Superior completo;Análise e Desenvolvimento de Sistemas;2015;7;5;Desenvolvedor;Ágil;2;2; ;4;7;6;3;3;3;7;7;6;7;5;5;5;4;3;7;7;7;7; ;2;6;7;6;1;6;1;1;1;6;1;1;6;4;5;7;4; ;4;6;1;6;5;4;5;1;1;1;7;7;7;3;1;4; ;6;6;1;,455284783333638;-1,24758714095017;1,09415646047459;-,0311644001764044;-1,81946817718433;,455284783333638;-1,24758714095017;1,09415646047459;-,0311644001764044;-1,81946817718433
Feminino;27;Mestrado;Ciência da computação;2018;3;3;Desenvolvedor;Ágil;28;7; ;6;6;6;6;6;6;6;6;6;4;6;7;6;6;6;7;6;6;6; ;2;2;4;2;2;2;2;2;3;2;3;2;2;5;2;2;2; ;5;6;1;5;4;3;4;4;2;3;6;6;6;4;2;5; ;4;5;2;-,0310213610864885;,255977218445819;,13063647530216;,377719404114084;,607408086679888;-,0310213610864885;,255977218445819;,13063647530216;,377719404114084;,607408086679888
Feminino;25;Superior completo;Ciência da computação;2018;1.4;1;Desenvolvedor;Híbrida;5;6; ;5;6;4;5;4;5;6;5;4;4;4;4;3;3;5;5;4;4;3; ;3;5;6;5;5;4;2;6;2;6;6;1;7;5;5;3;2; ;2;5;2;6;4;2;6;5;1;3;5;4;4;5;2;5; ;7;7;1;-1,62094459484334;-1,97755224392009;-2,4959652632951;,356689844679942;-1,12055751167645;-1,62094459484334;-1,97755224392009;-2,4959652632951;,356689844679942;-1,12055751167645
Feminino;22;Especialização;Gestão da Tecnologia da Informação;2017;2;2;Desenvolvedor;Ágil;12;10; ;7;7;6;5;3;4;7;7;6;5;6;5;6;7;7;6;6;5;6; ;7;7;7;7;7;1;3;6;7;7;5;6;6;2;6;7;2; ;1;7;1;7;6;2;4;1;1;1;7;7;5;2;1;1; ;7;7;1;,65663771461704;,652918568008964;-,306112446106408;1,25161639850278;-2,32543459645551;,65663771461704;,652918568008964;-,306112446106408;1,25161639850278;-2,32543459645551
Feminino;42;Especialização;MBA em gestão de projetos;2013;25;4;Gerente;Híbrida;5;4; ;6;7;6;5;6;7;6;7;6;7;6;7;7;6;7;6;7;7;6; ;6;6;6;6;5;4;5;6;7;7;7;6;6;6;6;5;5; ;6;5;4;4;4;6;6;3;2;4;3;4;3;6;2;6; ;5;4;2;,904544760065546;1,32776345160667;,351871242316698;,168941106290468;,526134462153149;,904544760065546;1,32776345160667;,351871242316698;,168941106290468;,526134462153149
Feminino;24;Superior incompleto;Sistemas de Informação;2020;2;2;Desenvolvedor;Ágil;144;7; ;6;6;3;6;6;4;5;5;5;6;6;5;7;6;5;4;5;4;6; ;2;7;5;5;6;5;3;4;3;6;2;5;6;6;7;4;5; ;6;4;2;2;4;4;4;4;4;5;6;4;5;5;2;4; ;3;4;4;,388318535871059;-,286186595099143;-2,0814217511304;-,911371575779479;-,602018958111833;,388318535871059;-,286186595099143;-2,0814217511304;-,911371575779479;-,602018958111833
Feminino;24;Superior completo;Engenharia da Computação;2019;4;3;Desenvolvedor;Ágil;6;6; ;6;6;2;5;5;5;6;6;3;7;6;5;5;4;4;5;3;3;5; ;3;2;2;3;5;2;4;4;3;5;1;1;2;5;3;3;5; ;5;3;3;4;2;5;6;5;2;5;5;4;5;2;1;5; ;5;5;2;-,100170245439184;-1,92796403636685;-2,74217933613421;-,923846083125114;-,159576182682386;-,100170245439184;-1,92796403636685;-2,74217933613421;-,923846083125114;-,159576182682386
Feminino;50;Especialização;Pós Graduação Projetos Ágeis;2019;23;8;Gerente;Ágil;7;7; ;7;7;7;7;7;5;6;7;6;5;7;5;4;7;7;7;7;6;7; ;2;2;3;1;1;2;1;2;2;2;3;1;1;7;7;1;1; ;1;6;1;6;7;2;7;1;1;2;7;7;7;5;1;7; ;6;5;1;1,03276590400852;-,0749149712840419;,996434356817614;1,11623782001646;-,169593905939099;1,03276590400852;-,0749149712840419;,996434356817614;1,11623782001646;-,169593905939099
Feminino;26;Especialização;Sistemas de Informação;2017;4;2;Desenvolvedor;Híbrida;10;2; ;6;7;6;5;6;5;7;5;6;5;6;6;6;6;6;7;7;6;6; ;3;7;5;6;4;7;2;3;1;6;3;2;6;5;4;2;4; ;1;5;1;6;1;2;6;1;1;2;7;6;6;4;1;5; ;6;7;1;-,0130818207806125;,298265113247009;,592693643039387;,886503362450213;-,213756214562575;-,0130818207806125;,298265113247009;,592693643039387;,886503362450213;-,213756214562575
Feminino;24;Superior completo;Sistemas de Informação;2016;3;3;Testador;Tradicional;60;24; ;3;7;4;7;6;2;6;4;4;4;5;4;4;4;4;7;6;5;7; ;7;7;7;7;6;6;6;7;3;7;6;4;7;5;7;2;7; ;7;2;1;2;6;6;6;7;6;7;7;1;5;7;2;7; ;1;1;6;-1,24343422975952;-2,1546739742907;,435137032847872;-,276325173715684;-,620811039635322;-1,24343422975952;-2,1546739742907;,435137032847872;-,276325173715684;-,620811039635322
Feminino;24;Superior completo;Ciência da computação;2018;2;2;Testador;Híbrida;204;19; ;4;6;6;4;4;2;7;6;6;6;5;7;6;7;7;7;7;6;7; ;5;3;5;4;2;4;1;4;3;5;2;2;5;4;4;1;2; ;6;7;1;3;1;5;6;1;1;3;4;4;5;6;1;6; ;5;6;1;,0174135969674221;,957459447370884;,811239839378653;,0283550028881679;-1,39231359553877;,0174135969674221;,957459447370884;,811239839378653;,0283550028881679;-1,39231359553877
Feminino;27;Superior completo;Sistemas de Informação;2017;2;1,5;Testador;Tradicional;18;18; ;5;6;7;6;5;5;6;6;7;6;5;5;6;6;7;7;6;6;6; ;5;7;5;7;4;5;5;6;6;7;3;7;5;4;7;5;4; ;2;6;4;6;4;3;7;1;1;4;7;6;5;2;1;3; ;6;6;1;,324495444750812;,30605252384698;,0503570632999574;,745865378413133;-,530837802784402;,324495444750812;,30605252384698;,0503570632999574;,745865378413133;-,530837802784402
Feminino;38;Mestrado;Ciência da computação;2015;16;4;Desenvolvedor;Ágil;7;7; ;6;7;6;6;6;6;6;6;6;5;5;7;7;6;6;7;7;6;6; ;1;2;7;5;6;2;2;2;2;5;2;1;3;6;3;2;1; ;2;7;1;6;4;3;6;1;1;1;7;6;6;2;1;2; ;6;6;1;-,0403077314155965;,784060071061038;,730057760724237;,538737617286262;,324347959588734;-,0403077314155965;,784060071061038;,730057760724237;,538737617286262;,324347959588734
Feminino;19;Superior incompleto;Ciência da computação;2021;2;2;Desenvolvedor;Ágil;3;3; ;7;6;6;6;6;5;7;6;7;6;7;5;4;5;5;6;6;6;5; ;7;7;7;7;5;7;5;7;7;6;6;7;7;4;5;7;4; ;6;6;1;5;3;1;6;1;2;1;6;4;6;3;1;3; ;4;4;2;,934723435133151;-1,09770306381421;-,67123588123993;1,08757072625112;-,119554580300601;,934723435133151;-1,09770306381421;-,67123588123993;1,08757072625112;-,119554580300601
Feminino;24;Superior completo;Engenharia da Computação;2019;3;3;Desenvolvedor;Ágil;15;13; ;5;6;7;7;7;5;7;7;7;6;5;6;4;6;7;7;7;7;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,640203123422741;-,0598775707334924;1,09523166955074;,898692797271932;,573294037863916;,640203123422741;-,0598775707334924;1,09523166955074;,898692797271932;,573294037863916
Feminino;22;Superior incompleto;Análise e Desenvolvimento de Sistemas;2021;3;3;Testador;Híbrida;15;10; ;5;3;4;5;5;4;4;4;6;7;5;4;5;5;5;6;5;5;6; ;7;7;6;6;3;6;1;6;4;7;3;7;5;2;7;5;5; ;1;6;1;7;4;5;6;1;1;2;7;7;5;3;1;2; ;5;4;1;,143411780290796;-1,53989069765953;-1,7386448015742;-1,75787278054405;-,279089482090758;,143411780290796;-1,53989069765953;-1,7386448015742;-1,75787278054405;-,279089482090758
Feminino;27;Superior completo;Sistemas de Informação;2015;3;2;Testador;Ágil;5;5; ;7;7;6;5;7;7;7;6;6;7;6;7;5;7;6;7;7;7;7; ;1;7;7;6;7;5;3;4;1;7;2;1;7;5;7;1;4; ;1;7;1;7;1;1;6;1;1;1;7;7;7;2;1;4; ;7;7;1;1,02978411934648;,370943855318127;1,01138147016448;,498784321918422;,95872663155986;1,02978411934648;,370943855318127;1,01138147016448;,498784321918422;,95872663155986
Feminino;28;Mestrado;Ciência da computação;2019;5;5;Desenvolvedor;Ágil;24;24; ;6;6;5;5;6;4;6;6;7;6;7;7;5;4;7;7;6;5;6; ;5;5;5;5;6;5;4;3;3;4;4;4;5;3;3;5;5; ;2;6;1;5;3;2;7;1;1;2;7;5;6;1;1;2; ;7;7;1;,475859556799026;-,11349086586523;,0514430427285995;,0503153015080115;-,00910171169798959;,475859556799026;-,11349086586523;,0514430427285995;,0503153015080115;-,00910171169798959
Masculino;30;Doutorado;Ciência da computação;2021;13;13;Desenvolvedor;Ágil;110;98; ;3;5;5;5;7;7;7;4;5;7;7;6;7;7;6;6;3;7;5; ;5;2;1;2;3;5;2;2;4;4;4;2;2;2;5;2;2; ;2;6;2;6;7;3;7;1;1;2;7;7;7;3;1;2; ;7;7;1;,0236561448630735;,123423667029385;-2,30949156604387;-,57853981198283;2,17506977923939;,0236561448630735;,123423667029385;-2,30949156604387;-,57853981198283;2,17506977923939
Masculino;29;Doutorado;Ciência da computação;2019;6;5;Desenvolvedor;Ágil;60;60; ;5;2;6;6;6;7;6;3;5;7;4;7;3;5;5;7;7;5;6; ;7;2;6;5;7;6;2;6;6;7;4;1;7;3;6;3;5; ;5;7;1;7;4;5;6;2;1;1;7;6;6;2;2;4; ;7;6;1;-,68603488270245;-1,88026700155454;-,69453569737689;-,670386030248859;2,13220785395753;-,68603488270245;-1,88026700155454;-,69453569737689;-,670386030248859;2,13220785395753
Masculino;31;Doutorado;Ciência da computação;2019;4;2;Desenvolvedor;Ágil;14;3; ;6;6;4;5;7;6;5;6;6;6;4;5;6;7;7;7;7;6;6; ;2;2;6;2;6;2;2;4;2;3;5;1;6;6;6;1;4; ;2;4;2;6;6;2;3;2;1;2;6;6;4;1;1;2; ;7;7;1;,099934537076469;,615071732595137;,545604544377628;-,635511204094571;,110432853522866;,099934537076469;,615071732595137;,545604544377628;-,635511204094571;,110432853522866
Masculino;22;Superior incompleto;Sistemas de Informação;2019;2;2;Desenvolvedor;Híbrida;24;24; ;5;5;3;6;4;6;4;7;7;6;5;6;6;4;7;7;7;7;6; ;6;2;4;6;6;7;5;5;5;3;5;2;5;2;7;2;6; ;2;7;1;2;4;3;6;2;2;2;6;6;5;2;1;7; ;4;5;2;,437244194159127;,14175984714609;,567561920303539;-1,58082969489645;-,001093077878859;,437244194159127;,14175984714609;,567561920303539;-1,58082969489645;-,001093077878859
Masculino;22;Superior incompleto;Ciência da computação;2014;2;2;Desenvolvedor;Ágil;12;1; ;7;7;5;7;6;7;5;7;7;4;4;7;6;5;7;7;7;4;5; ;3;1;3;5;1;5;4;3;1;3;1;1;2;1;1;1;3; ;1;7;1;7;1;3;5;1;1;1;6;6;5;1;1;1; ;7;7;1;-,333203777979116;,566450381909534;,475903515634669;,745163313651357;,112377266577805;-,333203777979116;,566450381909534;,475903515634669;,745163313651357;,112377266577805
Masculino;39;Especialização;Ciência da computação;2018;15;1;Desenvolvedor;Ágil;36;4; ;7;7;6;7;6;6;7;6;5;6;5;6;5;6;6;7;7;7;7; ;4;6;4;6;6;6;2;7;3;5;7;3;7;5;5;6;4; ;2;5;1;7;4;4;7;3;1;6;7;7;5;3;2;6; ;6;6;1;,444185518082055;-,0865534206659016;1,11771592755255;,885324135925133;,390397157390017;,444185518082055;-,0865534206659016;1,11771592755255;,885324135925133;,390397157390017
Masculino;27;Superior completo;Desenvolvimento de jogos;2013;10;10;Desenvolvedor;Híbrida;19;8; ;7;6;4;7;4;2;3;5;7;7;5;7;4;2;6;7;6;7;7; ;5;4;5;6;2;4;1;4;5;7;4;1;5;5;4;6;2; ;5;7;2;3;5;5;6;4;1;4;4;2;5;6;2;5; ;5;4;1;,627033784617975;-,876433292718822;,785260485146619;-1,4105135364373;-,84471285954151;,627033784617975;-,876433292718822;,785260485146619;-1,4105135364373;-,84471285954151
Masculino;21;Superior incompleto;Engenharia de Software;2020;5;2;Analista;Híbrida;18;2; ;2;5;2;7;3;1;6;3;5;6;2;6;7;6;6;7;7;7;6; ;6;7;7;4;5;3;2;2;3;2;5;6;3;3;7;7;1; ;7;7;7;1;7;7;5;7;6;7;5;2;4;7;7;6; ;1;2;6;-1,50433792631466;,221693275156334;,443377205769236;-1,57892125585534;-,961588681801913;-1,50433792631466;,221693275156334;,443377205769236;-1,57892125585534;-,961588681801913
Masculino;21;Superior incompleto;Engenharia de software;2020;2;5;Desenvolvedor;Ágil;8;8; ;7;7;5;3;4;3;5;5;7;6;5;4;6;5;5;7;6;6;6; ;1;4;4;1;5;2;4;2;2;2;3;2;5;4;4;2;1; ;3;6;2;5;1;1;3;3;1;1;7;6;7;4;1;2; ;5;5;1;,38657985852682;-,261870895591374;,226692055762612;-,137314731084235;-2,39933062416194;,38657985852682;-,261870895591374;,226692055762612;-,137314731084235;-2,39933062416194
Masculino;33;Especialização;Sistemas de Informação;2016;10;6;Desenvolvedor;Ágil;8;4; ;6;7;4;7;6;5;4;7;7;5;7;5;4;4;3;7;7;6;6; ;5;6;6;6;6;4;3;4;2;5;5;6;7;2;3;3;3; ;1;7;1;6;2;1;5;1;2;3;5;6;6;2;1;3; ;6;7;2;,902477458029708;-1,91688924910956;,771526245539063;-,637358036474269;-,0330182725808306;,902477458029708;-1,91688924910956;,771526245539063;-,637358036474269;-,0330182725808306
Masculino;22;Superior completo;Sistemas de Informação;2020;4;4;Desenvolvedor;Ágil;4;5; ;3;7;4;1;7;7;5;5;4;7;4;7;7;6;6;7;7;7;7; ;7;7;5;7;5;4;7;6;3;5;4;4;4;4;7;5;1; ;4;6;1;1;7;7;3;1;1;7;7;5;5;7;1;7; ;4;4;1;-,722653735755431;1,05877442621388;,991356473238761;-2,01344397421759;,895113374502689;-,722653735755431;1,05877442621388;,991356473238761;-2,01344397421759;,895113374502689
Masculino;32;Especialização;Ciência da computação;2014;5;5;Testador;Ágil;36;11; ;6;7;7;7;6;5;7;7;6;7;6;6;7;7;7;7;7;7;6; ;5;2;5;4;2;7;5;2;1;4;1;4;4;4;3;3;2; ;2;7;1;6;1;1;4;1;1;1;7;7;7;4;2;6; ;6;6;1;,961626186478802;1,08143498894357;,779485484660221;1,16227818277206;,168005146663353;,961626186478802;1,08143498894357;,779485484660221;1,16227818277206;,168005146663353
Masculino;27;Superior completo;Sistemas de Informação;2014;10;2;Desenvolvedor;Ágil;168;21; ;5;5;2;6;7;5;4;7;2;6;3;7;4;6;6;5;6;6;7; ;1;5;5;5;6;5;4;5;1;5;4;4;4;5;3;4;1; ;3;3;2;5;7;2;4;2;2;1;7;5;5;5;4;2; ;5;5;2;-,551210803361913;-,360047955000166;-,339427143319269;-2,5624150558501;,985524285271228;-,551210803361913;-,360047955000166;-,339427143319269;-2,5624150558501;,985524285271228
Masculino;23;Superior incompleto;Análise e Desenvolvimento de Sistemas;2020;3;3;Desenvolvedor;Híbrida;7;3; ;3;7;4;5;4;4;5;3;5;4;4;7;7;4;7;4;7;5;5; ;6;5;7;7;7;7;5;7;7;7;5;5;7;2;7;5;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-1,69511633750603;,989381184624332;-1,03915448362937;-,582823626188787;-1,14072503154785;-1,69511633750603;,989381184624332;-1,03915448362937;-,582823626188787;-1,14072503154785
Masculino;38;Mestrado;Ciência da computação;2009;15;13;Analista;Híbrida;10;10; ;7;6;6;4;7;2;6;5;7;6;4;6;5;5;5;6;7;5;6; ;6;7;7;7;6;7;6;6;5;7;6;5;6;5;7;7;7; ;3;5;1;6;6;2;6;2;1;1;7;6;6;4;2;2; ;6;6;1;,0237449819627054;-,269606564158529;,105783627060061;,364873300832619;-1,11435672799942;,0237449819627054;-,269606564158529;,105783627060061;,364873300832619;-1,11435672799942
Masculino;18;Superior incompleto;Ciência da computação;2020;1;1;Desenvolvedor;Tradicional;1;1; ;6;7;7;7;3;4;7;7;2;7;3;7;6;5;7;7;6;4;6; ;1;2;6;6;3;4;6;4;4;5;4;5;3;7;7;6;3; ;7;3;7;2;4;6;7;6;5;7;6;3;5;6;2;7; ;4;4;5;-,840185017626916;,256781889505107;,208620462865247;1,25095016031884;-,916648217271661;-,840185017626916;,256781889505107;,208620462865247;1,25095016031884;-,916648217271661
Masculino;47;Mestrado;Sistemas de Informação;2010;28;24;Analista;Tradicional;90;6; ;4;4;6;5;4;3;5;4;5;5;5;5;5;5;5;5;5;5;5; ;3;3;1;3;1;3;1;1;3;2;3;3;3;3;1;1;3; ;1;2;6;2;7;7;2;3;7;4;1;1;2;6;5;7; ;1;2;7;-,770883094760969;-1,03103930005065;-2,13511276783186;-,55320704087923;-,955909604212436;-,770883094760969;-1,03103930005065;-2,13511276783186;-,55320704087923;-,955909604212436
Masculino;30;Especialização;Analise e Desenvolvimento de Sistemas;2012;9;9;Desenvolvedor;Ágil;36;22; ;6;6;6;6;4;3;4;5;5;5;4;5;5;5;6;6;6;6;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-,397283717414056;-,286156374511219;-,247702839275523;-,286144335156171;-1,56939627178871;-,397283717414056;-,286156374511219;-,247702839275523;-,286144335156171;-1,56939627178871
Masculino;31;Superior completo;Ciência da computação;2010;9;9;Desenvolvedor;Híbrida;36;36; ;2;5;5;5;5;6;4;3;3;2;3;4;4;4;4;5;6;5;5; ;5;7;7;6;6;7;4;2;6;6;5;4;7;3;7;7;4; ;4;3;3;4;4;5;4;3;1;5;6;4;4;3;5;5; ;4;2;1;-2,67072480112081;-1,8459161552576;-1,46534953451429;-1,0635475095813;-,180079903109626;-2,67072480112081;-1,8459161552576;-1,46534953451429;-1,0635475095813;-,180079903109626
Masculino;25;Superior completo;Sistemas de Informação;2018;4;4;Desenvolvedor;Híbrida;14;1; ;7;7;6;5;6;6;6;7;6;5;6;6;6;7;6;7;7;6;6; ;7;7;4;2;3;2;3;1;1;2;3;2;3;5;1;2;2; ;1;7;1;7;4;1;6;1;1;1;7;7;7;1;1;1; ;7;7;1;,58673346368395;,581145182788824;,707482911070741;,595801121173676;-,246375907636226;,58673346368395;,581145182788824;,707482911070741;,595801121173676;-,246375907636226
Masculino;35;Superior completo;Ciência da computação;2006;12;10;Desenvolvedor;Híbrida;24;6; ;5;7;6;7;6;6;7;6;6;6;4;6;6;7;7;6;6;6;5; ;4;4;5;4;6;4;2;5;4;5;2;4;3;5;2;3;5; ;3;6;1;5;4;2;6;1;1;3;6;6;6;2;1;2; ;5;6;1;-,0960752041781309;,778685934910159;-,34326235680696;1,11534675683403;,22941254615341;-,0960752041781309;,778685934910159;-,34326235680696;1,11534675683403;,22941254615341
Masculino;33;Mestrado;Engenharia de Software;2016;9;9;Desenvolvedor;Ágil;36;24; ;7;6;6;5;5;6;6;6;6;6;4;5;5;6;6;7;7;6;5; ;5;4;6;4;1;4;1;2;2;6;4;3;7;6;6;5;1; ;3;5;1;6;2;2;6;2;2;2;7;5;6;1;1;5; ;5;5;2;,0497996461950206;-,0816719888555293;,254238067210804;,665281163606821;-,588846057996722;,0497996461950206;-,0816719888555293;,254238067210804;,665281163606821;-,588846057996722
Masculino;36;Mestrado;Ciência da computação;2008;15;9;Gerente;Híbrida;4;4; ;7;7;7;3;7;4;7;5;7;7;6;7;5;7;5;7;6;7;7; ;2;2;3;2;5;5;1;2;1;5;3;1;2;6;5;4;1; ;5;7;1;4;1;6;7;3;1;5;7;7;7;5;1;7; ;4;4;1;,9807514268685;,2650275708639;,629364151837452;,53854387272759;-,138702148123012;,9807514268685;,2650275708639;,629364151837452;,53854387272759;-,138702148123012
Masculino;30;Especialização;Ciência da computação;2013;9;6;Desenvolvedor;Ágil;60;2; ;6;6;6;5;6;3;5;6;5;6;7;7;5;4;7;6;7;6;6; ;1;6;5;3;2;4;1;1;1;5;3;1;5;6;2;5;5; ;4;4;3;6;2;6;6;1;1;5;6;5;6;2;2;5; ;6;6;1;,280106869243575;,206849173332009;,153116036679735;-,309920404314435;-,272427224884375;,280106869243575;,206849173332009;,153116036679735;-,309920404314435;-,272427224884375
Masculino;33;Especialização;Engenharia de Software;2013;14;13;Analista;Híbrida;126;126; ;7;7;7;7;7;6;7;4;5;6;7;7;5;4;5;7;6;6;5; ;6;7;7;5;7;5;7;6;3;7;7;3;7;3;7;2;2; ;6;5;3;3;4;6;7;7;4;6;3;4;5;4;2;7; ;3;4;4;-,0556685366663866;-,801939765940024;-,136354438207352;1,42367351822321;1,44380043426924;-,0556685366663866;-,801939765940024;-,136354438207352;1,42367351822321;1,44380043426924
Masculino;46;Mestrado;Ciência da computação;2014;26;3;Gerente;Ágil;12;12; ;6;6;6;7;7;6;6;6;6;7;7;7;6;7;7;7;6;7;6; ;2;6;7;7;6;6;6;2;2;7;2;6;6;5;6;6;6; ;1;7;1;6;1;1;7;1;1;1;7;7;7;1;1;1; ;7;7;1;1,01082899514638;,652959777327937;,113631986958514;,143033882761081;1,45717809263064;1,01082899514638;,652959777327937;,113631986958514;,143033882761081;1,45717809263064
Masculino;43;Mestrado;Ciência da computação;1999;20;5;Gerente;Ágil;3;3; ;7;7;6;4;5;5;7;5;6;6;7;5;7;6;7;7;7;6;7; ;4;3;3;3;3;3;2;2;3;3;2;2;3;6;3;3;4; ;2;6;1;6;2;6;7;1;1;1;7;7;5;2;2;2; ;6;6;1;,71528832266053;,727570944082387;,650545644436268;,806765055348385;-1,0407841047366;,71528832266053;,727570944082387;,650545644436268;,806765055348385;-1,0407841047366
Masculino;45;Especialização;Sistemas de Informação;2000;25;20;Desenvolvedor;Híbrida;10;5; ;6;4;4;7;6;5;6;6;5;5;5;6;6;4;4;7;5;6;4; ;6;5;5;5;6;5;5;4;4;5;4;4;5;6;6;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-,550320578203624;-1,29833282331591;-1,1292132274275;-,39242274169805;1,24998163044993;-,550320578203624;-1,29833282331591;-1,1292132274275;-,39242274169805;1,24998163044993
Masculino;24;Superior completo;Sistemas de Informação;2018;1;2;Desenvolvedor;Ágil;48;3; ;3;6;3;6;6;2;4;4;4;4;3;6;4;6;3;6;6;6;4; ;2;2;7;6;4;5;1;6;3;2;2;4;6;3;3;2;5; ;2;6;2;7;2;5;6;2;1;2;7;6;5;2;2;5; ;7;6;1;-1,8191091043003;-1,2869261493893;-,64636068526721;-1,60816126823331;-,224432700014254;-1,8191091043003;-1,2869261493893;-,64636068526721;-1,60816126823331;-,224432700014254
