sexo;idade;formacao;curso;anoFormacao;tempoProfissional;tempoFuncao;funcao;metodologia;existenciaProjeto;mesesNoProjeto;@12.Emrelaçãoassuascaracterísticasporfavorresponda;S1;S2;S3;C2;C3;C4;C1;EM4;EM1;EM3;EM2;T3;T1;T4;T2;I2;I1;I4;I3;@13.Pararesponderasquestõesabaixoconsidereseuprojetoatua;equipe1;reque1;reque2;reque3;tec1;req4;tec2;tec3;tec4;req5;equipe2;equipe3;req6;tec5;tec6;req7;equipe4;@14.Emrelaçãoaoseudiaadiadotrabalho;ci2;et6;ci3;et4;ee6;ee2;et5;ci1;ee4;ee1;et1;et2;et3;ee3;ci4;ee5;@15.Emrelaçãoasuasatisfaçãocomotrabalho;sat1;sat2;sat3;sat4;FAC1_1;FAC2_1;FAC3_1;FAC4_1;FAC5_1;FAC1_2;FAC2_2;FAC3_2;FAC4_2;FAC5_2;satisfacao;stress_ad;criatividade_ad;treinamento_ad;interpessoal_ad;burnout_cinismo;burnout_exaustao;burnout_et;crise_ad;instabilidade;adapt;inst_req;inst_equipe;inst_tec;burnt_total;et1i;et2i;et4i;et6i;et5i;et3i
Feminino;22;Superior incompleto;Ciência da computação;2021;1;1;Desenvolvedor;Ágil;6;1; ;5;6;4;5;6;4;4;5;6;5;5;6;5;4;7;7;7;5;6; ;1;3;5;7;6;7;2;6;5;6;2;5;7;3;6;2;4; ;7;2;7;1;2;7;3;6;7;7;6;2;2;7;7;7; ;2;5;7;1;-0,571085655;-0,129673399;0,498220421;-0,99394086;-0,382072218;-0,571085655;-0,129673399;0,498220421;-0,99394086;-0,382072218;2,666666667;5;5;5,5;6,25;6,75;6,166666667;2,666666667;5,25;77;5,4;32;10;12;5,194444444;2;6;7;6;5;6
Feminino;28;Especialização;Ciência da computação;2013;11;11;Desenvolvedor;Híbrida;6;6; ;7;5;4;5;6;5;7;2;4;6;6;4;4;5;5;3;5;5;5; ;4;6;6;3;6;5;4;5;7;7;5;1;7;7;7;4;4; ;7;7;3;2;7;7;7;6;3;7;7;5;7;7;3;7; ;3;4;3;5;-0,236614671;-1,457293245;-3,066473108;0,124781112;-0,339392822;-0,236614671;-1,457293245;-3,066473108;0,124781112;-0,339392822;4;5,333333333;5,333333333;4,5;4,5;4,75;6,333333333;5,833333333;4,5;88;4,833333333;28;14;14;5,638888889;1;3;6;1;1;1
Feminino;25;Superior completo;Engenharia da Computação;2017;4;3;Testador;Ágil;1000;36; ;5;5;5;7;5;4;7;6;6;6;5;6;4;6;6;7;6;7;6; ;3;6;7;6;6;4;5;4;5;6;4;7;5;6;7;6;5; ;2;6;1;5;3;3;6;1;1;2;7;6;5;2;2;5; ;7;6;1;6;0,221691368;-0,6738258;0,134016986;0,109929643;0,207075507;0,221691368;-0,6738258;0,134016986;0,109929643;0,207075507;6,666666667;5;5,333333333;5,5;6,5;1,5;2,666666667;5,833333333;5,75;92;5,616666667;28;20;16;3,333333333;1;2;3;2;2;3
Feminino;26;Mestrado;Ciência da computação;2019;1;1;Testador;Tradicional;72;18; ;4;6;3;3;4;4;5;4;4;4;3;5;5;6;7;5;6;6;5; ;6;5;2;2;6;4;4;5;4;3;5;3;6;6;5;5;2; ;6;5;4;3;3;2;5;5;5;2;6;4;3;6;5;7; ;4;4;5;3;-1,60872812;0,4401788;-0,961737062;-1,226032423;-1,675184192;-1,60872812;0,4401788;-0,961737062;-1,226032423;-1,675184192;3,666666667;4,333333333;3,666666667;5,75;5,5;5;4,166666667;4,333333333;3,75;73;4,6;17;19;12;4,5;2;4;5;3;3;5
Feminino;31;Superior completo;Sistemas de Informação;2014;5;2;Desenvolvedor;Ágil;48;24; ;6;7;5;7;6;3;6;7;6;6;5;7;6;6;7;6;7;7;4; ;5;6;7;7;6;6;1;5;4;7;3;4;7;1;7;7;7; ;6;6;2;4;4;5;6;7;6;4;5;5;6;6;5;7; ;4;4;6;2;0,183944208;1,131129737;0,185707442;0,464375493;-0,301771006;0,183944208;1,131129737;0,185707442;0,464375493;-0,301771006;3,333333333;6;5,333333333;6,5;6;5;5,333333333;5,333333333;6;90;5,966666667;34;19;14;5,222222222;3;3;4;2;2;2
Feminino;29;Especialização;Ciência da computação;2011;7;5;Gerente;Ágil;20;20; ;7;7;5;6;5;5;7;7;7;7;7;6;5;7;5;7;7;6;7; ;6;6;6;2;4;2;3;6;2;7;2;3;3;7;7;2;5; ;5;7;3;5;3;5;7;5;2;2;6;6;7;6;2;6; ;6;6;2;7;1,686758884;-0,343499116;0,847941824;0,515334084;-0,46093217;1,686758884;-0,343499116;0,847941824;0,515334084;-0,46093217;6;6,333333333;5,333333333;5,75;6,75;3,75;4;6,333333333;7;73;6,233333333;20;13;12;4,694444444;2;2;3;1;1;1
Feminino;24;Superior completo;Engenharia Eletrônica;2018;3;3;Desenvolvedor;Ágil;32;22; ;6;6;1;4;4;4;5;7;6;4;5;4;5;4;4;6;6;4;5; ;6;4;6;6;7;5;7;3;3;4;2;5;5;6;5;6;1; ;4;5;1;6;4;6;5;1;1;2;6;4;6;7;1;7; ;6;6;1;6;-0,254842285;-1,477453906;-0,698777621;-1,190529018;-1,874258326;-0,254842285;-1,477453906;-0,698777621;-1,190529018;-1,874258326;6,333333333;4,333333333;4;4,25;5,25;1,75;4,5;5,333333333;5,5;81;4,666666667;26;19;15;3,861111111;2;4;2;3;3;2
Feminino;23;Superior incompleto;Ti;2016;1;1;Analista;Híbrida;12;2; ;4;5;4;4;5;4;5;4;4;5;4;6;6;4;5;6;5;6;5; ;5;3;3;5;3;3;3;2;2;4;3;4;3;5;3;4;5; ;2;6;1;5;3;1;5;1;1;1;6;4;4;1;4;3; ;5;5;1;6;-1,417146208;-0,550152169;-1,198368762;-1,32082182;-0,05890646;-1,417146208;-0,550152169;-1,198368762;-1,32082182;-0,05890646;5,666666667;4,333333333;4,333333333;5,25;5,5;2;1,666666667;5;4,25;60;4,733333333;18;16;11;2,888888889;2;4;3;2;3;4
Feminino;39;Especialização;Redes;2014;5;3;Desenvolvedor;Tradicional;1;2; ;6;6;5;5;5;1;7;7;6;7;6;4;6;7;7;7;5;7;7; ;4;1;5;3;1;3;5;1;1;2;2;1;1;7;7;4;1; ;1;7;1;7;5;4;6;1;1;1;7;7;7;1;1;2; ;7;7;1;5;1,138004317;0,322594115;0,144436704;0,078420935;-1,747571018;1,138004317;0,322594115;0,144436704;0,078420935;-1,747571018;7;5,666666667;3,666666667;6;6,5;1;2,333333333;6,833333333;6,5;49;5,666666667;14;11;7;3,388888889;1;1;1;1;2;1
Feminino;51;Especialização;Ciência da computação;2009;29;11;Gerente;Ágil;15;5; ;6;6;6;6;5;7;6;5;6;6;6;6;5;5;6;7;5;5;6; ;6;4;6;5;4;5;5;5;4;6;3;2;4;6;4;3;6; ;2;6;1;6;1;6;6;1;1;1;7;7;6;1;1;2; ;6;7;1;7;0,197249969;-0,694667373;-0,617878078;0,486155248;0,489719554;0,197249969;-0,694667373;-0,617878078;0,486155248;0,489719554;6,666666667;6;6;5,5;5,75;1,25;2;6,333333333;5,75;78;5,8;26;14;15;3,194444444;1;1;2;2;2;2
