Timestamp;idade;curso;cursoTempo;profissional;S2;EM4;C1;I4;S1;EM1;C2;T3;C4;T2;EM2;S3;T1;C3;T4;I2;I3;EM3;I1;sat1;sa2;sat3;sat4;sat5
12/5/2019;21;Sistema de Informações;3;0;7;5;5;5;7;6;6;4;5;5;5;7;3;5;5;7;7;7;7;4;4;5;4;4
12/6/2019;21;Sistema de Informações;2;0;7;7;7;7;6;7;6;6;7;7;5;5;7;4;6;7;7;6;7;7;7;7;7;7
12/6/2019;27;Sistema de Informações;2;4;5;4;7;6;5;4;3;7;5;7;3;7;7;7;5;6;1;5;4;5;7;7;6;4
12/6/2019;23;Sistema de Informações;2;0;4;4;5;5;3;4;4;5;4;5;4;6;6;4;3;6;5;4;5;6;6;6;6;6
12/6/2019;19;Sistema de Informações;2;0;7;4;2;4;3;6;2;4;3;4;2;3;3;4;2;6;7;3;5;3;3;5;2;3
12/6/2019;19;Análise e Desenvolvimento de Sistemas;1;0;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
12/6/2019;21;Sistema de Informações;4;0;6;7;5;4;4;6;1;5;5;4;4;4;5;5;4;7;7;7;7;2;4;6;4;4
12/6/2019;21;Sistema de Informações;3;1;6;7;6;7;7;6;6;6;6;6;6;6;6;6;6;6;6;7;7;5;6;6;6;6
12/6/2019;28;Sistema de Informações;4;0;3;3; ;3;5;5;3;5;5;5;5;2;4;5;5;3;3;3;3;2;2;5;5;5
12/6/2019;21;Sistema de Informações;3;0;4;5;5;6;6;6;7;5;4;4;2;4;1;5;4;7;6;5;5;4;4;4;3;3
12/6/2019;21;Sistema de Informações;1;3;6;7;7;7;5;6;1;6;6;6;6;5;5;6;6;5;6;6;6;4;3;4;3;4
12/6/2019;21;Sistema de Informações;3;0;7;5;5;7;6;5;3;7;4;7;5;5;5;5;4;7;6;6;7;5;5;7;5;5
12/6/2019;35;Sistema de Informações;3;0;5;5;5;5;5;6;5;6;6;5;5;4;4;5;4;5;6;5;5;6;6;6;6;6
12/6/2019;24;Sistema de Informações;3;0;7;7;7;5;7;6;6;6;6;5;6;6;5;5;5;7;6;6;6;6;5;6;5;5
12/6/2019;30;Sistema de Informações;3;0;4;6;6;6;5;6;2;7;3;7;3;3;5;7;5;7;7;6;7;2;5;5;3;5
12/6/2019;22;Sistema de Informações;3;3;7;5;7;7;5;6;6;7;4;7;5;4;7;7;7;7;7;5;7;2;2;6;7;2
12/6/2019;21;Sistema de Informações;4;0;7;4;6;6;6;5;5;7;7;5;6;4;7;4;7;7;6;5;7;1;1;6;1;1
12/6/2019;19;Sistema de Informações;4;1;6;6;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;3;3;4;4;4
12/6/2019;29;Sistema de Informações;4;1;5;4;4;5;4;6;5;6;5;6;5;3;6;6;5;6;5;6;5;4;4;6;6;5
12/6/2019;24;Sistema de Informações;3;0;7;3;7;3;3;3;4;3;4;4;7;7;4;7;3;5;3;4;5;7;7;3;4;5
12/6/2019;24;Sistema de Informações;4;1;6;7;4;4;7;7;5;6;4;7;5;5;5;7;5;7;7;7;7;2;2;7;7;7
12/6/2019;21;Sistema de Informações;4;1;6;7;6;7;6;6;4;5;7;6;5;7;5;6;5;7;7;6;7;4;4;5;4;4
12/6/2019;28;Sistema de Informações;4;1;7;7;7;7;7;7;7;7;4;7;7;5;5;5;2;7;5;5;5;5;5;7;5;5
12/9/2019;31;Sistema de Informações;2;1;5;7;5;7;6;6;7;7;7;7;7;6;7;7;7;7;7;6;7;6;6;6;7;7
